Kelime,Anlam1,Anlam2,Anlam3
akıllı,zeki,bilge,anlayışlı
temiz,pak,hijyenik,arı
çalışkan,gayretli,azimli,dürüst
mutlu,neşeli,şen,mesut
güzel,çekici,alımlı,hoş
iyi,faydalı,yararlı,hoş
zor,çetin,güç,ağır
doğru,haklı,gerçek,hatasız
uzun,büyük,dev,geniş
genç,delikanlı,taze,dinç
dost,arkadaş,yoldaş,ahbap
sessiz,sakin,suskun,durgun
çabuk,hızlı,acele,seri
hafif,az,küçük,zayıf
aydınlık,parlak,ışıltılı,ışıklı
sevimli,tatlı,şirin,minik
aç,karnı aç,acıkmış,tok değil
zengin,varlıklı,paralı,servet sahibi
güçlü,kuvvetli,sağlam,dayanıklı
mutfak,aşhane,yemekhane,ocak
şeffaf,saydam,berrak,duru
kolay,basit,rahat,sade
yeni,taze,modern,çağdaş
temel,ana,esas,asıl
yüksek,iri,yüce,uzun
kocaman,devasa,iri,geniş
açık,net,belirgin,anlaşılır
neşeli,keyifli,neşeli,şen
temkinli,dikkatli,tedbirli,ölçülü
kibar,ince,zarif,nazik
yumuşak,pamuk gibi,nazik,hoş    
meraklı,ilgili,araştırmacı,öğrenmeye açık
anlayışlı,hoşgörülü,sabırlı
saygılı,nezaketli,edepli,nazik
düz,yassı,pürüzsüz,dümdüz
ilginç,enteresan,dikkat çekici,farklı
yoğun,sıkışık,dolu,kalabalık
sıcak,ateşli,hararetli,ılık
düzgün,derli toplu,düzenli,temiz
dolu,tam,taşmış,ağzına kadar
geç,gecikmiş,sonra,vaktinde değil
erken,zamanında,vaktinde,önce
karanlık,loş,ışıksız,sisli
huzurlu,sakin,rahat,serin
umutlu,iyimser,beklentili,ümitli
adil,haklı,tarafsız,eşitlikçi
cesur,yiğit,kahraman,yürekli
hız,sürat,ivme,hareket
dostluk,arkadaşlık,yarenlik,samimiyet
tatlı,şekerli,lezzetli,minnoş
çevik,atik,kıvrak,hızlı
canlı,hayatta,yaşayan,diril
cesaret,yüreklilik,kararlılık,gözü peklik
sevgi,aşk,şefkat,ilgi
öğrenci,talebe,çırak,okullu
bahar,ilkbahar,yaz öncesi,çiçek zamanı
şarkı,melodi,ezgi,nağme
bilgi,veri,malumat,öğreti
deniz,okyanus,su kütlesi,su
orman,ağaçlık,koru,yeşillik
çiftlik,tarla,bağ,bahçe
elma,mevsim meyvesi,fruit,yenilecek
şenlik,eğlence,festival,panayır
kutlama,bayram,şölen,anma
oyun,aktivite,etkinlik,rekreasyon
gökyüzü,semâ,hava boşluğu,bulut üstü
bulut,yağmur taşıyan,sis,yoğunlaşma
hayvan,yaratık,canlı,organizmalar
kardeş,abi,abla,akraba
yaren,refik,dost,ahbap
çocuk,evlat,yavru,ufaklık
anne,ana,valide,ebeveyn
baba,peder,ata,ebeveyn
merhamet,şefkat,acımak,hoşgörü
yardım,destek,yardım eli,katkı
oyuncak,eğlence aracı,bebek,nesne
kalem,yazı aracı,kurşun kalem,tükenmez
defter,yazı kitabı,notluk,ajanda
kitap,okuma materyali,bilgi kaynağı,roman
okul,öğrenim yeri,eğitim kurumu,mektep
masa,sehpa,yazı masası,çalışma masası
sandalye,oturak,koltuk,iskemle
ışık,parlaklık,ışınım,aydınlatma
gölge,karanlık alan,loş yer,ışık almayan
yağmur,sağanak,yağış,dolu
kar,beyaz örtü,buz kristali
rüzgar,esinti,hava akımı,fırtına
dağ,tepe,yükseklik,yayla
nehir,ırmak,akarsu,çay
su birikintisi,doğal su,küçük deniz
güneş,ışık kaynağı,ısı kaynağı,gündüz yıldızı
ay,gece ışığı,uydu,parlak küre
yıldız,parlayan nokta,gök cismi
kış,soğuk mevsim,kar zamanı,don dönemi
yaz,sıcak mevsim,deniz zamanı,güneşli dönem
sonbahar,yaprak dökümü,güz,geç dönem
ilkbahar,çiçek mevsimi,uyanış zamanı
gece,vakit,uyku zamanı,karanlık zaman
gündüz,aydınlık zaman,sabah,öğlen
öğretmen,muallim,eğitmen,tedrisatçı

