Kelime,Zıt Anlam1,Zıt Anlam2,Zıt Anlam3
akıllı,akılsız,aptal,cahil
temiz,kirli,pis,lekeli
çalışkan,tembel,üşengeç,savruk
mutlu,üzgün,mutsuz,kederli
güzel,çirkin,itici,kaba
iyi,kötü,zararlı,fena
zor,kolay,basit,hafif
doğru,yanlış,yalan,hatalı
uzun,kısa,dar,minik
genç,yaşlı,ihtiyar,kocamış
dost,düşman,rakip,kötü
sessiz,gürültülü,sesli,şamatacı
çabuk,yavaş,ağır,gecikmeli
hafif,ağır,büyük,yoğun
aydınlık,karanlık,loş,koyu
sevimli,itici,kaba,çirkin
aç,tok,doymuş,dolu
zengin,fakir,yoksul,muhtaç
güçlü,zayıf,güçsüz,çelimsiz
hızlı,yavaş,gecikmeli,ağır
şeffaf,bulanık,opak,karanlık
kolay,zor,çetin,karmaşık
yeni,eski,bayat,köhne
yüksek,alçak,kısa,basık
büyük,küçük,minik,ufak
açık,kapalı,gizli,örtülü
neşeli,hüzünlü,üzgün,kederli
kibar,kaba,sert,edepsiz
yumuşak,sert,katı,kaba
meraklı,ilgisiz,kayıtsız,duyarsız
saygılı,saygısız,edepsiz,kaba
düz,eğri,kıvrımlı,bozuk
ilginç,sıradan,sıkıcı,önemsiz
sıcak,soğuk,serin,donuk
dolu,boş,eksik,yarım
geç,erken,vaktinde,zamanında
karanlık,aydınlık,ışıklı,parlak
sakin,gürültülü,canlı,hareketli
umutlu,umutsuz,kötümser,karamsar
adil,haksız,yanlı,adaletsiz
cesur,korkak,çekingen,ürkek
tatlı,acı,ekşi,tatsız
nazik,kaba,sert,duyarsız
yardımsever,bencil,ilgisiz,duyarsız
temkinli,düşüncesiz,aceleci,savruk
anlayışlı,katı,sert,anlayışsız
cömert,cimri,hasis,pinti
bilgili,cahil,bilgisiz,deneyimsiz
dikkatli,dalgın,unutkan,özensiz
düzenli,dağınık,karmaşık,karışık
temiz,pis,lekeli,kirli
kısa,uzun,geniş,büyük
uyumlu,uyumsuz,kavgacı,zıt
saydam,opak,karanlık,bulanık
doğal,yapay,sahte,suni
canlı,ölü,sönük,bitkin
nezaket,kabalık,edepsizlik,kırıcılık
cesaret,korku,çekingenlik,ürkeklik
barış,savaş,kavga,düşmanlık
barışçıl,saldırgan,kavgacı,öfke dolu
dostluk,düşmanlık,husumet,soğukluk
sevgi,nefret,kin,öfke
umut,umutsuzluk,karamsarlık,korku
güler yüzlü,somurtkan,asık suratlı,ciddi
eğlenceli,sıkıcı,ciddi,donuk
hür,bağımlı,tutsak,kısıtlı
akıcı,takıntılı,kesik,anlaşılmaz
özgür,kısıtlı,bağlı,mahrum
güvenli,tehlikeli,riskli,korkutucu
sağlıklı,hasta,zayıf,kötü
temel,yan,ikincil,önemsiz
yüksekten,bastan,aşağıdan,düşükten
gerçek,yalan,hayal,sahte
aktif,pasif,durgun,tembel
kırılgan,sağlam,sert,dayanıklı
dolu,boş,yarı,eksik
nazik,sert,kaba,duyarsız
tatlı,acı,ekşi,tuzlu
aydın,karanlık,kasvetli,loş
sabırlı,aceleci,telaşlı,düşüncesiz
kararlı,kararsız,tereddütlü,ikircikli
istikrarlı,dengesiz,kararsız,değişken
şen,üzgün,kederli,sessiz
açgözlü,cömert,paylaşımcı,verici
duyarlı,duyarsız,ilgisiz,kayıtsız
zamanında,geç,gecikmeli,sonra
sevecen,kaba,soğuk,duygusuz
gerçekçi,hayalperest,saf,iyimser
cesur,korkak,çekingen,ürkek
sabırlı,aceleci,telaşlı,panikçi
uygun,uygunsuz,yanlış,sakıncalı
dürüst,yalancı,ikiyüzlü,aldatıcı
başarılı,başarısız,kötü,yetersiz
fedakar,bencil,çıkarcı,kendi çıkarını düşünen
güler,asık,ciddi,somurtkan
çözümcü,problemli,sorunlu,çıkmazda
barışçıl,kavgacı,hırçın,öfke dolu
yalnız,kalabalık,topluluk,iç içe
parlak,mat,soluk,donuk
hareketli,durgun,sakin,tembel

